S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
548,Vinyas Innovativ,1142.65,453.74,1437.99,9.91,66.11,6.69,0.39,14.12,6.09,16,13.65,24.06,21.52,168.79,71.21,16.28
549,Radico Khaitan,3187.2,658.31,42675.95,15.63,80.44,14.63,7.29,13.62,7.98,11.71,12.77,19.2,15.12,11.04,7.07,16.24
550,Thermax,4006.5,984.89,47739.97,9.19,74.51,9.45,2.7,13.57,5.67,13.41,11.72,19.24,12.63,27.56,24.9,16.22
551,Galaxy Surfact.,1764.5,1562.84,6255.99,9.46,21.54,2.47,4.26,13.46,9.62,16.42,17.99,4.64,10.22,5.06,5.71,16.22
552,Shankara Buildpro,1099.3,,2665.73,2.85,30.72,,,9.8,4.93,10.26,,,,,,16.21
553,NIBE,1041.75,,1556.51,3.84,,6.48,,13.61,7.24,11.92,,,,,,16.2
554,Akums Drugs,514.3,294.65,8094.77,10.91,24.95,2.57,0.51,17.19,8.64,13.14,6.53,3.9,11.27,49.26,48.93,16.2
555,Wheels India,1047.95,519.85,2560.46,7.39,20.94,2.83,2.12,12.71,3.61,10.39,9.2,6.2,12.7,9.88,14.36,16.14
556,Carborundum Uni.,926.15,217.71,17642.46,11.56,73.07,4.71,29.58,10.85,8.49,13.75,14.09,13.76,13.49,2.47,6.03,16.12
557,Flair Writing,322.1,454.74,3394.79,17.44,25.18,3.15,0.88,12.49,10.25,17.82,16.22,23.2,,28.64,,16.12
558,Marine Electric.,224.71,85.26,3144.69,10.04,59.04,7.23,1.45,11.55,5.59,10.75,9.95,26.79,23.88,40.78,45.91,16.06
559,Powergrid Infra.,93,100.03,8462.99,155.74,6.25,1.11,0.19,15.41,11.62,8.1,,1.33,,32.38,,16.05
560,Man Industries,550.85,474.35,4131.9,11.56,22,2.1,1.53,10.01,4.87,8.17,9.33,17.9,14.78,14.42,21.41,15.98
561,Spectrum Electr.,1133.7,420.93,1781.48,14.36,47.97,8.27,0.97,14.26,6.86,13.51,12.19,16.98,23.29,49.53,40.49,15.96
562,Kalpataru Proj.,1240.8,888.11,21189.46,8.09,24.96,3.04,1.8,9.96,2.36,9.72,10.51,14.73,11.98,13.89,8.45,15.95
563,PDS,279.45,252.64,3952.6,3.06,38.4,2.32,-2.67,11.07,5.45,16.25,18.51,12.52,13.6,-14.4,24.11,15.92
564,FDC,366.15,237.22,5961.29,13.49,25.69,2.45,3.65,11.83,10,11.9,12.73,11.4,9.46,7.03,1.92,15.9
565,NRB Bearings,282.62,161.92,2739.23,17.46,18.44,2.87,1.29,12.74,9.22,13.64,13.27,8.33,9.09,14.27,28.79,15.88
566,Pennar Industrie,167.31,119.76,2257.79,9.46,16.93,2.11,0.41,12.55,4.21,11.52,8.15,12.51,8.9,41.2,17.26,15.88
567,Responsive Ind,149.31,135.91,3980.73,20.4,22.07,2.71,0.02,16.02,12.11,11.8,8.98,8.72,21.61,1417.78,53.87,15.83
568,BLS E-Services,177.08,325.65,1608.89,7.14,28.75,3.19,0.26,11.04,9.55,12.96,13.66,75.12,,110.84,,15.83
569,Rossari Biotech,516.4,550.2,2860,12.14,20.77,2.29,1.74,12.22,7.9,12.61,14.06,11.94,28.23,11.95,15.88,15.8
570,TCI Express,512.95,377.93,1970.7,10.45,21.96,2.42,-1.85,11.96,9.94,18.35,20.78,3.76,3.2,-11.88,-0.26,15.79
571,UTI AMC,925.25,507.12,11891.4,47.62,25.33,2.64,10.64,10.31,10.26,14.94,14.44,10.26,7.76,2.38,-1.02,15.78
572,Technocraf.Inds.,2491.2,1820.6,5648.25,15.96,20.52,3,-11.34,14.46,8.99,16.89,17.06,10.74,13.94,-1.81,15.19,15.77
573,VRL Logistics,248.96,151.72,4355.23,20.75,18.23,3.97,4.45,17.44,7.38,21.03,19.6,13.47,8.33,4.1,13.71,15.73
574,Deepak Fertilis.,1221.9,1656.68,15425,16.21,17.63,2.37,1.59,15.56,7.47,16.06,16.73,10.27,17,11.1,94.55,15.67
575,Bharat Seats,171.18,105.86,1075.01,5.21,25.99,5.2,0.65,18.04,5.66,16.68,13.44,16.38,16.97,39.96,20.98,15.65
576,Paras Defence,800.55,198.83,6451.42,25.65,87.85,9.6,2.73,11.53,8.11,9.56,9.38,25.94,19.92,32.15,25.95,15.61
577,Manaksia Coated,105.91,64.49,1120.89,9.4,27.59,3.39,1.33,8.43,2.67,7.49,7.5,6.46,26.03,20.78,25.91,15.6
578,Kalyani Steels,798.15,699.21,3484.17,19.76,12.98,1.77,9.76,14.04,9.48,13.82,15.36,5.12,10.58,1.33,12.99,15.58
579,BEML Ltd,1792.4,330.74,14928.72,10.69,59.93,5.33,1.92,10.46,4.99,9.37,7.52,-2.48,5.86,31.27,35.5,15.56
580,WPIL,414.95,251.64,4052.85,16.82,34.04,2.74,3.23,10.04,4.53,26.01,23.56,15.22,14.73,10.54,18.39,15.56
581,Carysil,899.1,672.59,2557.27,18.68,28.26,4.52,-157,14.54,7.06,16.62,19.22,19.01,24.18,-0.18,23.72,15.45
