S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
952,Triven.Engg.Ind.,417.55,176.57,9140.08,9.01,29.14,2.96,-1.7,8.13,4.22,14.52,16.87,9.86,5.1,-17.14,-6.12,8.65
953,AvenuesAI,13.98,26.59,4876.54,4.88,19.61,1.17,0.51,6.47,4.59,5.22,4.31,45.58,44.55,38.63,17.94,8.65
954,JK Paper,371.7,287.18,6739.62,12.58,25.14,1.15,-2.22,7.04,3.93,19.73,18.27,19.18,17.03,-11.33,-4.38,8.63
955,SEAMEC Ltd,1524.9,1107.82,3877.06,38.99,20.32,3.61,27.09,7.93,5.34,8.63,8.57,23.08,11.16,0.75,-10.58,8.6
956,Universal Cables,819.45,929.15,2843.11,8.88,18.05,1.52,2.93,5.06,2.66,6.57,6.46,9.91,8.95,6.17,0,8.58
957,Health.Global,569.35,43.85,8500.52,18.01,312.4,9.23,4.26,5.14,1.58,4.72,0.44,16.72,15.22,73.4,19.34,8.56
958,Laxmi Organic,140.16,54.73,3885.4,6.27,48.82,2.01,-1.99,5.93,3.74,7.3,10.94,-1.08,14.24,-24.57,17.25,8.56
959,Sakar Healthcare,629.1,208.74,1399.74,25.29,55.5,4.61,10.51,6.48,4.41,6.53,8.04,11.46,16.43,5.28,12.94,8.54
960,Ujjivan Small,56.79,38.3,11039.39,38.47,22.34,1.77,0.4,12.42,1.65,22.27,13.62,31.21,18.64,55.51,15.72,8.53
961,V-Mart Retail,617.35,210.65,4905.36,13.21,41.31,5.8,1.64,3.08,0.91,-3.32,-1.92,24.99,14.38,25.2,-13.01,8.5
962,A.K.Capital Serv,1532.25,2216.24,1011.29,69.54,9.73,1,9.54,8.97,2.17,10.06,10.53,14.34,8.98,1.02,10.77,8.48
963,Viyash Scientific,207.15,24.39,9049.71,17.53,70.83,11.17,-3.75,3.21,2.05,-3.3,2.09,3.17,5.64,-18.87,-20.72,8.47
964,ACME Solar Hold.,305.3,70.99,18500.32,88.58,36.87,3.87,0.76,7.57,1.71,4.66,0.56,-1.89,-4.59,48.26,25.72,8.42
965,Religare Enterp.,220.48,107.76,7339.57,2.74,71.4,2.52,2.58,5.15,1.77,4.12,,31.78,25.38,27.68,16.65,8.39
966,Star Cement,231.75,121.76,9366.88,24.17,25.14,3.11,-2.12,6.05,4.38,9.31,10.27,12.5,11.41,-11.84,-9.95,8.39
967,AYM Syntex,230.81,,1352.87,6.34,,2.35,,2.53,1.23,1.97,4.56,-0.06,7.69,-37.65,-10.1,8.36
968,Saraswati Commer,9506.95,36384.43,1041.89,95.21,12.16,0.98,-1.94,6.47,5.77,9.31,10.73,-4.58,123.25,-6.28,49.86,8.32
969,NGL Fine Chem,2235.9,1453.31,1381.79,10.41,46.43,4.7,-1.56,6.68,4.66,10.5,17.73,4.08,18.75,-29.73,8.44,8.29
970,Rain Industries,128.2,68.28,4312.01,12.61,101.45,0.58,-1.47,0.6,0.68,-6.68,1.53,-6.92,10.12,-69.07,-40.23,8.26
971,IRM Energy,283.71,396.87,1164.9,9.44,25.97,1.2,-0.86,4.68,3.37,10.34,17,24.37,42.56,-30.32,15.48,8.26
972,IKIO Tech,141.83,102.24,1096.07,10.65,57.69,1.9,-3.81,5.55,4.85,13.75,18.98,13.56,17.16,-15.13,8.37,8.22
973,Rossell Techsys,911.85,79.95,3437.35,13.79,156.46,24.26,,6.08,2.02,,,,,,,8.18
974,Altius Telecom,160,57.53,48758.4,40.94,50.07,3.67,3.54,5.7,1.3,5.4,2.76,25.74,21.08,14.13,18.95,8.17
975,Jana Small Finan,459.35,558.43,4838.08,38.31,15.6,1.13,0.04,13.03,1.41,18.56,15.82,19.99,18.79,346.84,72.35,8.15
976,Hubtown,204.45,117.35,2905.25,14.25,22.48,1.11,0.69,2.41,0.85,-0.11,-2.98,29,8.41,32.67,231.94,8.13
977,B.L.Kashyap,51.7,10.96,1165.52,6.3,130.81,2.22,-7.43,2,0.7,7.39,5.91,-0.11,7.07,-17.6,19.16,8.08
978,IFCI,59.5,19.64,16031.17,65.03,40.12,1.81,1.44,2.6,1.57,0.44,-17.01,6.49,-8.19,27.93,22.37,8.08
979,Orchid Pharma,566.85,163.21,2875.01,5.21,110.66,2.26,0.44,8.21,6.17,7.06,1.86,18.11,13.76,249.37,22.53,8.07
980,Landmark Cars,408.6,168.2,1694.26,5.18,68.24,3.01,-1.86,3.09,1.07,11.79,13.68,10.59,12.65,-36.75,21.65,7.99
981,IZMO,704.6,412.02,1054.26,20.6,28.38,2.78,2.11,7.03,5.84,7.85,8.3,19.26,17.28,13.43,16.22,7.98
982,Vardhman Hold.,3341.9,29392.92,1066.07,84.63,4.59,0.29,-0.29,7.55,7.55,7.03,8.59,-11.7,12.86,-15.6,10.07,7.98
983,Shoppers Stop,296.4,,3263.88,14.9,,11.35,,3.39,0.19,29.15,-15.53,22.48,5.96,28.79,15.71,7.96
984,Prime Focus,306.9,,23815.15,27.33,90.54,13.7,,-16.7,-1.66,-39.47,-21.74,2.06,4.21,,-5.82,7.95
985,DCW,43.51,30.58,1284.22,10.27,30.96,1.21,-0.94,2.91,1.41,6.94,7.04,-6.6,9.39,-32.95,25.83,7.93
986,XPRO India,1024.7,204.85,2405.01,4.8,187.31,3.51,-35.27,6.56,4.6,10.84,12.98,4.35,8.56,-5.31,138.26,7.93
987,Oriental Aromat.,311.64,21.4,1048.78,6.77,1417.27,1.58,-103.91,5.31,3.22,3.35,7.35,2.32,4.23,-13.64,-16.79,7.89
988,Jay Bharat Maru.,92.97,60.89,1006.4,10.68,12.17,1.68,3.44,5.61,1.91,6.34,6.22,3.29,6.68,3.54,2.06,7.87
989,Godrej Industrie,990.55,498,33362.2,8.21,33.16,3.21,3.47,9.64,2.22,7.2,7.13,11.63,11.73,9.55,11.44,7.83
990,Wonderla Holiday,525.9,250.73,3335.4,30.04,40.26,1.89,0.31,7.51,6.83,12.09,6.83,52.78,11.1,128.71,17.54,7.82
991,IRB Infra.Devl.,21.63,12.93,26124.71,49.51,32.72,1.28,0.8,5.91,2.01,5.29,4.61,9.47,2.13,40.75,7.82,7.82
992,Shilpa Medicare,413.9,116.88,8095.13,27.22,45.76,3.32,2.86,4.21,2.75,1.52,2.81,3.91,7.12,16.02,-10.82,7.82
993,Bandhan Bank,174.67,146.78,28138.96,43.89,27.93,1.14,0.16,11.88,1.49,11.53,9.91,16.53,15.06,177.43,-1.91,7.82
994,Le Merite Export,456.8,119.25,1143.53,4.46,87.69,8.58,-2.32,4.74,2.29,4.73,12.39,-2.94,17.25,-37.87,8.8,7.8
995,Uflex,390.7,1066.86,2821.3,11.12,11.81,0.37,-0.29,3.29,1.31,5.44,9.56,4.63,15.22,-40.27,-8.05,7.75
996,PTC Industries,16125,1243.38,24175.49,17.62,362.94,17.07,5.67,6.07,4.98,7.5,7.17,19.85,33.43,63.99,104.86,7.74
997,Igarashi Motors,385.75,100.19,1214.15,10.03,89.21,2.61,0.52,5.3,3.12,2.91,2.98,14.65,9.43,172.84,-4.17,7.73
998,Piramal Finance.,1863,558.38,42230.06,62.95,36.38,1.54,-6.8,2.31,0.6,5.54,,19.36,1.45,-5.35,15.28,7.73
999,MMTC,65.4,16.21,9810,-3148.51,86.58,5.1,2.98,5.87,2.72,14.67,,-95.37,-86.52,29.05,19.08,7.7
1000,Vindhya Telelink,1257.65,2552.17,1490.32,6.26,6.58,0.35,4.09,5.03,2.79,6.07,6.77,45.22,16.58,1.61,-3.11,7.64
1001,Cartrade Tech,1694.3,880.66,8120.45,31.05,39.64,3.48,0.89,6.24,5.54,2.84,1.44,27.04,16.54,44.34,55.71,7.59
1002,Indl.& Prud.Inv.,6502,4073.8,1089.63,86.12,17.42,1.3,1,7.59,7.3,7.32,7.03,1.84,16.82,17.43,24.23,7.57
1003,Natl.Fertilizer,75.76,40.95,3716.63,3.3,19.09,1.45,0.34,6.49,1.66,10.3,7.83,7.68,8.55,55.45,-2.73,7.57
1004,HFCL,100.22,11.36,15339.7,10.43,296.08,3.71,-16.78,4.42,2.47,7.7,9.34,-4.91,1.15,-17.65,-4.83,7.55
1005,Sunteck Realty,350.65,403.61,5149.02,27.12,25.19,1.43,0.06,5.95,2.22,4.44,2.98,45.82,12.85,425.29,34.59,7.54
1006,IndiGrid Trust,172.03,84.27,19578.36,84.69,60.08,3.21,-154.05,6.6,1.36,6.43,6.63,13.95,21.48,-0.39,-7.36,7.51
1007,Rico Auto Inds,113.72,41.33,1538.63,9.63,26.67,2.04,-9.53,3.48,1.3,5.45,3.94,5.96,9.57,-2.8,4.21,7.5
1008,R C F,128.1,78.32,7067.15,4.78,22.76,1.44,-0.85,5.03,2.07,9.82,11.32,9.74,11.79,-26.91,-3,7.49
1009,T N Merc. Bank,639.9,688.03,10132.91,72.61,8.07,1.04,0.63,13.97,1.85,14.91,15.06,11.34,8.83,12.88,23.73,7.49
1010,Niva Bupa Health,77.07,,14238.35,0.16,,3.74,,8.18,2.62,6.41,0.91,41.99,38.42,45.14,40.07,7.45
1011,Imagica. Enter.,46.92,22.2,2655.02,33.52,169.11,2.11,5.24,7.67,4.96,,,78.57,15.44,32.25,17,7.44
1012,Honasa Consumer,348.85,115.85,11350.53,7.64,73.44,8.99,1.54,5.51,3.79,,,26.04,76.22,47.74,16.54,7.44
1013,Sasken Technol.,1267.8,489.51,1925.34,6.73,45.41,2.4,-1.61,5.97,4.96,9.82,13.66,8.28,2.28,-28.25,-9.75,7.41
1014,Greenlam Industr,223.08,32.64,5691.83,9.78,313.28,5.01,-30.99,6.07,2.33,11.26,12.37,14.68,14.24,-10.11,-5.17,7.41
1015,DCB Bank,193.37,367.89,6224.92,68.47,8.51,0.95,0.52,11.97,0.89,11.54,10.75,20.8,16.45,16.21,16.85,7.4
1016,Renaiss. Global,101.9,93.7,1093.65,6.88,11.92,0.76,-1.16,6.02,3.39,7.07,7.7,-1.68,-3.62,-10.3,-2.76,7.39
1017,Clean Max Enviro,1057.1,,12376.44,60.24,229.92,,-26.67,1.3,0.18,0.71,1.75,28.69,,-8.62,,7.39
1018,Karur Vysya Bank,295.45,280.25,28555.47,65.92,12.42,2.23,0.29,17.65,1.73,16.36,13.37,20.09,10.07,42.34,51.5,7.38
1019,Indokem,546.5,18.62,1524.09,4.71,285.95,24.1,,5.21,2.32,-2.44,,,,,,7.38
1020,Anupam Rasayan,1341,510.99,15267.06,23.86,88.74,4.77,-5.88,3.32,3.24,5.39,6.14,10.2,22.13,-15.09,11.97,7.33
1021,Apollo Pipes,442.05,143.01,1947.15,6.76,119.6,2.36,,4.61,2.97,,,,,,,7.32
1022,Mahindra Logis.,406.15,24.51,4029.92,5.38,1599.4,3.43,-29.48,0.31,0.41,-5.06,-1.62,10.92,16.48,-54.25,-39.93,7.28
1023,Suryoday Small,145.2,203.94,1543.33,37.46,22.54,0.78,0.47,6.16,0.82,8,4.1,27.54,20.57,47.88,0.66,7.28
1024,Yasho Industries,1475.4,445.35,1778.9,17.56,98.66,4.16,-1.9,1.63,0.56,15.87,19.86,2.95,,-51.85,,7.23
1025,Utkarsh Small F.,13.76,,2448.62,1.27,,1.04,,0.79,0.09,12.77,11.09,26.75,23.55,-27.31,-33.88,7.17
1026,Polyplex Corpn,889.65,513.12,2792.83,3.9,92.29,0.69,-3.24,5.72,4.64,5.64,10,1.3,8.94,-28.48,-3.71,7.16
1027,Mahamaya Steel,846.95,138.31,1391.91,2.75,133.45,9.12,9.5,5.01,3.05,4.35,3.72,17.41,17.51,14.05,24.61,7.15
1028,Excel Industries,927.45,1066.11,1165.87,10.12,15.38,0.64,-0.72,5.21,4.23,4.26,6.94,-6.01,6.84,-21.27,-3.95,7.11
1029,CSB Bank,382.65,577.31,6638.44,52.34,10.67,1.41,1.18,14.31,1.42,16.14,15.83,20.85,18.96,9.04,113.6,7.11
1030,Birla Corpn.,907.9,967.09,6991.74,15.34,12.24,0.98,-1.54,4.79,2.27,4.11,6.3,7.29,5.91,-7.93,-8.51,7.08
1031,Westlife Food,462.75,25.4,7215.95,12.71,,11.58,,1.3,0.32,11.46,3.46,16.48,9.99,39.86,-22.06,7.08
1032,Nuvoco Vistas,293.15,202.4,10470.03,16.38,26.86,1.02,-11.78,4.05,2.03,2.02,2.26,2.31,8.65,-2.28,101.77,7.07
1033,Bluestone Jewel,546.1,80.7,8313.36,15.76,560.2,4.62,,1.1,0.31,,,,,,,7.07
1034,RHI Magnesita,403.55,436.61,8333.37,11.17,48.63,2.07,-5.46,5.19,3.97,8.64,11.04,22.49,21.5,-8.91,8.44,7.06
1035,Seshasayee Paper,267.06,267.92,1684.3,5.97,20.16,0.84,-77.54,5.6,4.44,15.01,13.32,8.99,8.18,-0.26,-9.68,7.04
1036,Capital Small,258.87,444.49,1175.76,64.04,8.67,0.85,0.31,10.38,1.36,12.31,12.06,16.25,14.67,28.14,38.98,7.04
1037,GOCL Corpn.,318.55,1156.98,1579.13,-271.95,6.4,0.56,0.26,7.45,3.72,4.73,5.25,3.65,2.15,24.27,17.57,7.02
1038,Aegis Vopak Term,188.14,64.96,20845.75,73.59,101.94,4.4,0.26,8.73,2.39,7.34,,,,391.54,,7.01
1039,Smartworks Cowor,425.2,,4858.42,64.19,,9.54,,-81.99,-1.47,-112.37,-61.07,56.24,40.21,1.14,,6.97
1040,NELCO,666.8,37.26,1521.64,9.32,3105.39,11.81,-43.81,0.38,0.15,9.16,12.71,-0.72,6.28,-70.89,-47.42,6.95
1041,Tarsons Products,206.97,238.32,1101.21,29.13,51.85,1.76,-1.55,4.75,2.88,,,9.27,,-33.55,,6.91
1042,Alembic,91.42,209.05,2347.5,40.63,7.37,0.93,0.6,13.69,12.82,11.61,12.2,41.56,24.58,12.25,-1.12,6.9
1043,City Union Bank,262.51,190.53,19505.73,68.39,15.55,1.96,1.12,12.58,1.51,12.88,12.42,12.43,6.95,13.92,18.73,6.86
1044,Equitas Sma. Fin,65.22,,7443.46,33.76,,1.27,,2.43,0.3,9.33,9.42,22.19,19,-19.5,-9.68,6.85
1045,Ramkrishna Forg.,546.5,275.03,9928.3,13.11,44.42,3.23,1.63,14.4,6.93,15.75,14.81,20.25,27.1,27.28,110.16,6.84
1046,CIAN Agro,1340.9,1094.27,3752.63,19.42,22.19,1.85,0.07,4.01,1.78,3.89,3.79,59.37,37.14,304.91,62.43,6.82
1047,Indostar Capital,195.64,294.58,3160.34,19.01,,0.79,,-0.45,-0.13,2.44,-4.4,6.3,-2.49,25.55,14.31,6.79
1048,Raj Rayon Inds.,21.79,12.15,1211.7,5.33,36.28,8.87,1.04,15.29,3,1.43,,,,34.9,18.84,6.78
1049,Kirloskar Indus.,3238.4,4616.11,3403.36,12.27,21.12,0.49,-2.45,2.6,2.83,4.65,5.88,20.28,28.18,-8.62,8.79,6.72
1050,Asian Hotels (N),288.2,222.16,1228.69,15.46,,3.03,,-40.98,-4.26,-49.06,-37.58,34.58,4.74,13.05,0.38,6.66
1051,NOCIL,185.34,65.03,3095.64,8.68,49.25,1.75,-3,5.94,5.05,7.59,8.47,-3.94,10.48,-16.41,-4.3,6.65
1052,Orient Green,10.57,7.01,1239.89,63.74,20.58,1.04,0.28,3.84,2.36,3.16,0.23,-5.34,-6.52,73.2,10.72,6.65
1053,Fino Payments,130.96,256.55,1089.83,-547.67,15.23,1.45,0.52,13.31,2.43,13.48,13.6,76.3,60.85,29.02,37.2,6.64
1054,PC Jeweller,9.35,8.64,9079.35,20.86,13.82,0.95,0.27,12.68,7.38,-2.17,-2.93,11.82,-15.49,51.53,47.54,6.55
1055,Mindspace Busine,469.41,239.05,37302.92,74.32,66.27,2.11,194.91,3.39,2.03,3.1,3.15,14.75,,0.34,150.95,6.53
1056,South Ind.Bank,38.63,55.82,10111.66,61.51,7.28,0.92,0.04,13.78,1.08,13.41,9.32,12.64,3.93,207.59,65.71,6.5
1057,Atul Auto,498.65,141.94,1383.82,9.04,38.84,3.06,0.93,4.99,2.74,2.98,-0.02,31.83,2.94,41.78,-16.74,6.48
1058,Piramal Pharma,165.47,,21995.07,11.52,,2.72,,1.11,0.58,-0.37,3.31,11.74,,-38.63,,6.45
1059,Guj Inds. Power,154.36,130.62,2395.91,32.98,16.49,0.68,2.27,6.19,3.31,6.14,6.13,2.33,-1.84,7.27,-3.14,6.44
1060,Sobha,1417,449.85,15152.38,5.67,106.38,3.29,-7.78,2.68,0.61,2.92,3.43,16.39,1.47,-13.68,-19.57,6.44
1061,MSP Steel & Pow.,34.9,,1978.12,5.2,122.26,2.17,,-3.78,-1.79,-3.49,-1.14,7.49,13.64,,9.52,6.43
1062,Devyani Intl.,106.98,,13189.99,15.12,,8.49,,0.54,-0.2,6.35,,33.43,26.7,-67.78,15.31,6.42
1063,Capital India,27.11,24.28,1060.15,8.94,,1.58,,0.3,-0.54,-1.66,-0.79,4.77,27.83,39.5,-36,6.34
1064,Karnataka Bank,242.04,362.55,9153.51,66.24,7.93,0.73,0.22,11.1,1.07,13.12,11.36,13.15,6.84,35.7,24.1,6.33
1065,Aarti Industries,472.75,178.33,17141.65,13.5,46.2,3,-1.33,6.03,3.1,8.47,13.33,6.11,11.68,-34.79,-9.09,6.32
1066,Juniper Hotels,208.26,166.01,4633.83,39.73,29.56,1.68,0.88,2.64,1.64,1.42,-5.72,45.16,11.87,33.46,22.87,6.31
1067,Gulshan Polyols,181.94,133.03,1134.77,5.93,26.61,1.77,-0.77,3.91,1.9,4.43,,22.42,,-34.71,,6.3
1068,Unichem Labs.,372.35,508.66,2621.56,9.81,24.92,1.08,0.4,5.59,3.99,-1.15,-0.21,18.46,13.85,63.02,29.11,6.24
1069,Aayush Art,1162.1,42,1779.43,2.76,921.98,33.42,10.75,4.66,4.36,3.6,2.37,187.02,103.57,85.8,61.69,6.21
1070,Precision Camshf,156.6,76.82,1487.48,8.89,29.5,1.82,4.93,3.93,2.86,4.74,3.78,-1.12,3.01,5.98,-3.02,6.19
1071,G S F C,172.22,217.71,6862.58,7.69,9.91,0.55,-0.77,4.77,4.04,6.6,6.76,1.63,4.1,-12.85,39.34,6.18
1072,Zydus Wellness,490.85,115.58,15616.92,12.67,64.96,2.74,26.62,6.02,5.27,5.91,6.09,10.47,8.92,2.44,12.94,6.16
1073,J & K Bank,126.05,220.51,13880.4,68.97,6.48,0.9,0.11,15.77,1.28,15.14,12.6,16.1,8.23,61.43,30.31,6.15
1074,Reliance Power,28.4,14.87,11745.59,30.83,41.55,0.71,1.84,-1.08,-0.36,-9.68,-7.09,0.35,0.05,22.61,8.18,6.15
1075,PNB Gilts,71.07,95.3,1279.33,91.52,7.1,0.75,0.12,11.08,0.7,10.98,7.82,11.37,10.06,60.3,-17.1,6.14
1076,Shalby,155.6,42.73,1680.63,12,208.51,1.68,-4,0.62,0.11,5.31,5.54,15.86,17.43,-52.12,-25.71,6.12
1077,GE Power,531.05,144.11,3570.11,9.65,21.26,9.24,0.42,105.32,8.84,-46.02,-16.13,-26.34,-15.61,50.78,24.05,6.09
1078,SEPC,7.61,5.03,1438.33,9.2,28.53,0.76,0.97,2.55,1.51,-1.52,-8.02,21.96,-13.13,29.34,38.41,6.08
1079,Puravankara,214.26,,5081.17,15.12,,3.14,,-10.05,-1.42,-1.4,0.62,28.24,-1.1,,,6.04
1080,Sudarshan Chem.,869.55,,6835.7,5.86,1863.49,1.94,-101.11,3.07,1.27,5.52,8.93,14.98,14.39,-18.43,-11.65,6.03
1081,Solara Active,477.5,,1727.25,13.9,,1.38,,0.05,0.02,-11.47,-3.97,0.4,-0.58,26.2,-65.77,6.01
1082,Pun. & Sind Bank,24.84,25.22,17625.43,63.61,14.53,1.27,-19.37,7.03,0.66,6.59,1.97,17.4,7.68,-0.75,24.78,5.98
1083,Lloyds Enterpris,67.53,60.15,10090.27,6.26,39.54,3.11,0.45,2.48,3.22,3.87,3.36,214.54,382.34,88.56,148.93,5.97
1084,Jagran Prakashan,65.87,73.4,1433.69,7.19,8.73,0.74,-0.52,6.21,3.01,7.35,7.27,5.33,-2.08,-16.77,-13.85,5.95
1085,Sustainable Ener,119,188.11,3855.6,82.73,31.04,1.29,,4.35,1.87,,,,,,,5.91
1086,Globus Spirits,1044,734.4,3034.7,8.5,38.12,2.92,-0.78,2.54,1.29,8.9,14.55,17.1,16.92,-48.91,-15.85,5.8
1087,Muthoot Microfin,184.92,,3152.74,21.51,,1.17,,-8.19,-1.98,6.13,5.31,45.44,24.39,,,5.8
1088,Godavari Bioref.,333,103.09,1704.16,7.65,31.61,2.35,,-3.79,-1.23,0.51,2.15,3.19,5.09,,,5.79
1089,RBL Bank,321.4,265.33,19873.62,34.14,24.16,1.21,-10.32,5.13,0.5,5.91,4.91,14,11.47,-2.34,10.08,5.77
1090,Sapphire Foods,167.32,,5377.38,14.96,,3.86,,2.03,0.86,8.32,5.25,18.74,16.54,-15.53,19.42,5.76
1091,IFGL Refractori.,179.88,115.63,1296.55,7.01,42.51,1.14,-2.4,3.94,2.76,6.58,7.13,9.49,12.5,-17.73,7.07,5.71
1092,Divgi Torq,752.5,314.8,2301.37,18.78,62.54,3.78,-3.26,4.14,3.73,7.2,9.19,-2.17,6.6,-19.17,-2.77,5.69
1093,Den Networks,27.79,46.95,1326.21,7.02,8,0.35,-1.69,4.48,3.93,3.47,3.8,-4.84,-5.71,-4.73,20.74,5.58
1094,Dalmia BharatLtd,1962.5,866.81,36809.82,20.3,30.77,2.08,-15.08,4.15,2.48,5.27,6,7.4,7.64,-2.04,30.28,5.58
1095,UCO Bank,26.47,35.92,33192.21,64.68,11.99,1,0.85,8.62,0.73,7.81,7.12,14.19,12.71,14.12,110.05,5.55
1096,OneSource Speci.,1824.3,301.65,20914.26,27.82,684.14,3.54,19.61,3.34,2.31,-17.74,-18.62,124.22,,34.88,,5.53
1097,Central Bank,36.01,58.1,32594.1,58.28,6.75,0.83,0.12,11.43,0.85,8.87,5.81,13.85,7.38,54.82,39.11,5.48
1098,Dhanlaxmi Bank,26.56,33.81,1048.32,56.98,11.88,0.73,0.52,5.48,0.39,5.5,5.05,12.92,5.97,23,0.19,5.47
1099,SIS,335.7,,4743.28,4.52,13.8,1.88,-0.2,0.45,0.18,7.75,13.61,9.45,9.22,-67.86,-45.5,5.47
1100,Sindhu Trade,23.65,,3646.66,-44.65,,2.22,,0.35,0.7,1.22,-0.2,19.41,8.04,31.09,15.49,5.45
1101,Rishabh Instrum.,489.45,370.67,1886.94,14.43,27.69,2.74,-1.28,3.87,2.55,7.58,9.32,15.28,12.45,-21.64,-5.72,5.43
1102,SignatureGlobal,835.25,34.96,11736.16,-3.03,3534.99,16.15,84.43,14.72,0.93,,,40.47,59.56,41.87,30.05,5.42
1103,Brookfield India,322.1,314.18,26730.46,70.13,51.56,1.65,-5.6,1.53,0.61,1.1,1.28,39.6,,-9.2,,5.38
1104,Jindal Poly Film,691.55,,3028.05,0.16,,0.74,,2.15,0.82,4.02,13.67,-3.18,8.52,-57.48,-28.49,5.36
1105,TVS Srichakra,3811.8,1296.88,2919.84,7.44,62.29,2.53,-3.91,2.35,0.95,6.93,6.99,8.56,9.11,-15.95,-19.98,5.36
1106,MIRC Electronics,32.94,,1216.78,-4.76,,7.77,,-1.81,-0.42,-16.74,-10.18,-14.44,4.32,18.34,12.47,5.35
1107,Yatra Online,112.49,124.29,1765.15,8.35,30.91,2.17,0.59,4.77,2.88,2.9,-3.75,58.68,3.29,52.05,29.66,5.34
1108,Elpro Internatio,108.63,370.82,1841.05,63.08,9.86,0.91,-0.97,3.14,2.07,3.82,5.06,75.32,28.87,-10.19,32.64,5.24
1109,Bhagiradha Chem.,259.29,49.77,3362.19,8.75,254.33,4.87,-9.39,2.53,1.84,6.64,9.17,0.37,12.39,-27.08,22.42,5.19
1110,Nexus Select,154.53,93.21,23411.3,68.05,46.31,1.7,,2.89,2.07,,,,,,,5.17
1111,Greaves Cotton,154.81,66.94,3605.62,6.65,33.2,2.62,0.61,4.11,-0.25,4.1,2.98,19.51,8.84,54.4,-13.84,5.13
1112,DCX Systems,193.71,70.42,2157.67,-0.61,162.35,1.49,-10.14,3.11,2.07,7.63,10.96,-0.57,,-16.01,,5.1
1113,Swelect Energy,661.6,409.14,1002.9,21.46,18.23,1.12,-0.41,0.58,0.32,1.47,2.16,20.62,19.77,-44.77,13.83,5.06
1114,Eureka Forbes,510.05,180.25,9864.56,11.45,50.49,2.19,0.17,3.69,2.55,2.3,1.99,85.6,172.07,294.02,182.53,5.04
1115,Delta Corp,76.69,50.31,2053.54,18.97,22.97,0.91,-0.76,3.64,3.25,5.15,6.15,-10.63,10.45,-30.15,44.02,5.02
1116,Jain Irrigation,31.36,12.89,2285.69,12.47,45.55,0.38,1.51,0.61,0.23,6.04,1.1,-6.79,-0.55,30.11,15.4,4.94
1117,SJVN,77.85,22.8,30593.46,72.99,48.37,2.1,-7.26,5.81,1.92,7.29,8.84,8.32,2.59,-6.66,-10.34,4.91
1118,TVS Supply,114.35,33.36,5044.89,7,32.21,2.59,1.32,-0.72,-0.16,-2.12,-7.87,2.62,8.64,24.49,14.06,4.83
1119,Roadstar Infra,68,,3097.24,47.52,,0.77,,0.14,0.23,-1.03,,,,,,4.83
1120,National Standar,1404.4,73.81,2808.8,-30.66,290.77,9.96,53.85,3.49,3.44,4.73,5.6,5.58,3.91,5.4,3.9,4.79
1121,The Ramco Cement,965.9,413.03,22823.48,15.71,121.58,3.02,-2.39,1.42,0.62,3.67,7.46,12.37,9.59,-50.88,-29.61,4.77
1122,Poonawalla Fin,416.55,65.15,36666.75,50.06,104.96,3.43,,-1.28,-0.35,6.38,3.8,39.6,10.76,,,4.77
1123,Indiqube Spaces,179.12,,3797.3,59.66,,6.9,,-234.1,-3.34,,,44.45,34.61,,,4.76
1124,NDR INVIT Trust,136.75,118.41,5415.47,87.38,38.46,1.42,0.46,3.46,2.65,3.16,,23.92,,83.94,,4.74
1125,JSW Cement,123.54,,16843.01,17.63,52.38,2.78,,-4.81,-1.44,1.6,5.95,7.67,14.83,,,4.64
1126,BF Investment,413.75,2249.84,1558.18,43.16,9.48,0.22,2.38,3.39,3.08,5.59,6.13,46.53,23.19,3.98,8.69,4.62
1127,United Foodbrands,299.91,,1172.24,15.09,,3.58,,-7.36,-2.09,-2.29,-9.12,12.74,7.8,-0.34,7.34,4.57
1128,Andhra Paper,66.01,42.59,1312.61,3.95,70.01,0.68,-2.77,3.07,2.33,18.54,15.17,3.75,3.95,-25.29,-22.73,4.5
1129,LMW,14288,2564.11,15263.87,5.11,125.79,5.39,-5.13,3.04,2.07,10.67,9.43,-1.7,13.85,-24.5,26.84,4.48
1130,Greenpanel Inds.,208.87,,2561.32,6.45,,1.85,,5.34,3.58,12.28,14.41,-4.03,10.8,-32.58,23.39,4.48
1131,Rhetan TMT Ltd,28.83,2.36,2297.39,4.81,268.39,23.53,27.3,3.39,2.61,5.32,5.85,-17.85,13.18,9.83,49,4.47
1132,Mrugesh Trading,23.5,,1697.76,-1.51,,24.99,,3.81,3.73,3.46,1.59,,,139.09,37.51,4.43
1133,India Motor Part,1001.6,1173.75,1250,7.66,14.01,0.49,1.09,3.5,3.14,3.93,3.85,7.91,8.75,12.91,15.45,4.38
1134,Shadowfax Technologies,150.56,,8766.68,2.54,251.7,,,2.25,0.63,-23.51,,,,,,4.38
1135,ESAF Small Fin,23.35,,1204.1,16.51,,0.69,,-23.49,-1.96,3.51,4.34,25.8,22.27,,,4.28
1136,Hardwyn India,25.68,4.48,1254.3,9.81,107.85,3.13,,2.89,2.47,2.7,,,,,,4.23
